id;type;predator;prey;energy;r;g;b;speed;eye_type;eye_range;mut_rate;rep_type;xpos;ypos
0;1;2;0;1000;0;255;0;0;0;60;200;0;0;0
1;1;2;0;1000;0;205;0;0;0;60;200;0;1;1
2;1;2;0;1000;0;255;0;0;0;60;200;0;2;4
3;1;2;0;1000;0;220;0;0;0;60;200;0;6;3
4;1;2;0;1000;0;200;0;0;0;60;200;0;6;6
5;1;2;0;1000;0;230;0;0;0;60;200;0;4;8
6;2;3;1;1000;0;200;0;100;0;200;50;0;9;9
7;2;3;1;1000;0;200;0;100;0;200;50;0;10;12
8;2;3;1;1000;0;0;0;100;0;200;50;0;5;7
9;2;3;1;1000;0;50;0;100;0;200;50;0;1;7
10;2;3;1;1000;100;100;0;100;0;200;50;0;1;11
11;2;3;1;1000;30;30;0;100;0;200;100;0;12;2
12;3;4;2;1000;10;255;0;200;0;200;100;200;13;5
13;3;4;2;1000;0;250;0;200;0;200;100;200;5;13
14;3;4;2;1000;0;100;0;200;0;200;100;200;5;5
15;3;4;2;1000;10;100;0;200;0;200;100;200;6;1
16;3;4;2;1000;10;10;10;200;0;200;100;200;1;4
17;3;4;2;1000;10;10;100;200;0;200;100;200;9;6
18;1;2;0;1000;0;255;200;0;0;60;200;0;16;8
19;1;2;0;1000;0;255;200;0;0;60;200;0;17;8
20;1;2;0;1000;200;255;0;0;0;60;200;0;8;10
21;1;2;0;1000;200;255;0;0;0;60;200;0;9;13
22;1;2;0;1000;100;100;100;0;0;60;200;0;3;3
